10023948|The mean volume of the left amygdala-hippocampal complex -LRB- AHC -RRB- was lower in the first-episode group -LRB- 4.3 cm3 -LSB- 0.6 -RSB- -RRB- than in the high-risk group -LRB- 4.6 cm3 -LSB- 0.6 -RSB- -RRB- , and in turn than in the controls -LRB- 4.8 cm3 -LSB- 0.7 -RSB- -RRB- ; these differences were significant -LRB- p < 0.05 -RRB- both for absolute volumes and values adjusted for brain volume and other confounders .
10073475|Unilateral block of NMDA receptors in the amygdala prevents predator stress-induced lasting increases in anxiety-like behavior and unconditioned startle -- effective hemisphere depends on the behavior .
10073475|To localize the site of action of systemic MK-801 , MK-801 was injected in the amygdala 30 min prior to predator stress .
10073475|The target of the injection was the basolateral amygdala .
10073475|Injections of MK-801 in a variety of sites in the basolateral amygdala had no effect on the suppression of open-arm exploration produced by predator stress .
10073475|Other amygdala nuclei or other limbic sites likely mediate the effects of systemically administered MK-801 on this behavior .
10073475|In contrast , NMDA receptors in the left lateral amygdala mediate lasting suppression of risk assessment .
10073475|MK-801 , in a variety of sites in the left but not right lateral amygdala , blocked the effects of predator stress on risk assessment .
10073475|Different NMDA-dependent amygdala circuitry mediated effects of predator stress on unconditioned acoustic startle 1 week after cat exposure .
10073475|The data indicate that integrity of the left lateral amygdala is necessary for potentiation of startle amplitude by predator stress , though NMDA receptors are not involved in this function .
10073475|Nevertheless , NMDA receptors in the right , but not the left lateral amygdala , mediate initiation of changes in startle .
10073475|The data also suggest that the right amygdala action is `` downstream '' from the left amygdala contribution .
10073475|Finally , the findings of the importance of the right amygdala in stress-induced enhancement of the startle response provides neurobiological face validity to predator stress as a model of aspects of posttraumatic stress disorder .
10075898|The left amygdala , a structure involved in implicit learning of visual representations , was activated by the categorization task on unknown faces .
10103127|Glucocorticoid receptor activation in the rat nucleus of the solitary tract facilitates memory consolidation : involvement of the basolateral amygdala .
10103127|Additionally , pretraining infusions of the beta1-adrenergic antagonist atenolol -LRB- 0.5 microg in 0.2 microL -RRB- into the basolateral nucleus of the amygdala -LRB- BLA -RRB- , a brain structure which receives noradrenergic projections from the NTS and is implicated in memory storage modulation , blocked the memory-enhancing effects of the GR agonist -LRB- 1.0 ng -RRB- infused into the NTS .
10200226|During swallowing , group PET analysis identified increased regional cerebral blood flow -LRB- rCBF -RRB- -LRB- P < 0.001 -RRB- within bilateral caudolateral sensorimotor cortex -LSB- Brodmann 's area -LRB- BA -RRB- 3 , 4 , and 6 -RSB- , right anterior insula -LRB- BA 16 -RRB- , right orbitofrontal and temporopolar cortex -LRB- BA 11 and 38 -RRB- , left mesial premotor cortex -LRB- BA 6 and 24 -RRB- , left temporopolar cortex and amygdala -LRB- BA 38 and 34 -RRB- , left superiomedial cerebellum , and dorsal brain stem .
10213976|The SPM analysis demonstrated significant decrease of relative rCBF in the basal fore-brain area , the left hippocampus , the left amygdala , and the left parahippocampal area .
10214738|BACKGROUND : We previously found that VNS acutely induces rCBF alterations at sites that receive vagal afferents and higher-order projections , including dorsal medulla , somatosensory cortex -LRB- contralateral to stimulation -RRB- , thalamus and cerebellum bilaterally , and several limbic structures -LRB- including hippocampus and amygdala bilaterally -RRB- .
10219788|The human amygdala plays an important role in gaze monitoring .
10219788|Discrimination between the direction of gaze significantly activated a region in the left amygdala during eye-contact and no eye-contact tasks to the same extent .
10219788|However , a region in the right amygdala was specifically activated only during the eye-contact task .
10219788|Results confirm that the left amygdala plays a general role in the interpretation of eye gaze direction , and that the activity of the right amygdala of the subject increases when another individual 's gaze is directed towards him .
10219788|This suggests that the human amygdala plays a role in reading social signals from the face .
10224295|The clearest changes were observed in brain regions known to be involved in conditioned fear responding , such as the amygdala complex and hippocampal formation and several cortical regions .
10224295|This consistency in regions known to be involved in conditioned fear responding -LRB- i.e. , amygdala complex and hippocampal formation -RRB- lead us to suggest that it is these changes , rather than the more variable cortical necrotic lesion , that is responsible for the behavioural deficits we observe following mild TBI .
10224295|Importantly , our results demonstrate that like the hippocampus , the amygdala is a sub-cortical structure particularly sensitive to the effects of mild brain trauma and underline the fact that cerebral regions distant from the location of the fluid impact can be affected .
10330702|The recent evidence from literature testify to functional asymmetry of the structures belonging to the limbic system : hippocampus , amygdala , and hypothalamus .
10330702|Predominant activation of the right hippocampus and right amygdala during perception and memorizing of visual picturesque images and solving the tasks provoking emotional stress , apparently , concerns the functional specialization of the right hemisphere in general .
10355673|First , we tested whether the amygdala has a neural response to sad and/or angry facial expressions .
10355673|We found that increasing intensity of sad facial expression was associated with enhanced activity in the left amygdala and right temporal pole .
10355673|We found no support for the suggestion that angry expressions generate a signal in the amygdala .
10371536|The volumes of the EC , the hippocampus , and the amygdala were measured using a standardized MRI protocol .
10371536|The volumes of the hippocampus and the amygdala were smaller on the side of the focus in TLE patients compared with controls -LRB- p < 0.05 -RRB- .
10379417|Additional analyses for the subset of 5 patients with left and 6 patients with right temporal lobectomies involving removal of the hippocampus and amygdala were in the same direction as the analyses for all 18 participants .
10379417|The differences between performance on the affective and neutral stories for the left and right temporal lobe epilepsy patients are discussed and related to the role of the amygdala in affective processing .
10381776|After 50 days of housing , plasma corticosterone , adrenal catecholamines , and the density of cyclic -LSB- D-penicillamine2-D-penicillamine2 -RSB- enkephalin-stimu lat ed guanylyl 5 ' - -LSB- gamma -LSB- 35S -RSB- thio -RSB- - triphosphate binding in the prefrontal cortex , the amygdala , nucleus accumbens , thalamus , arcuate , and median eminence were also determined .
10381776|Agonist stimulation of delta receptor guanylyl 5 ' - -LSB- gamma -LSB- 35S -RSB- thio -RSB- - triphosphate binding was lateralized in prefrontal cortex and amygdala , but not nucleus accumbens .
10381776|Lateralized binding in amygdala , high locomotor activity , and sensory sensitivity correlated positively with greater sensitivity to SNC-80-induced depression in these measures .
10381776|Higher binding in the right amygdala correlated with higher plasma corticosterone levels .
10405084|Hippocampal/amygdala volumes in geriatric depression .
10405084|BACKGROUND : The hippocampus , amygdala and related functional circuits have been implicated in the regulation of emotional expression and memory processes , which are affected in major depression .
10405084|Using established anatomical guidelines for structure delineation , volumetric measurements of left and right hippocampus and anterior hippocampus/amygdala complex were completed under blinded conditions using a semi-automated computer mensuration system , with patients and controls in random order .
10406013|Adult Sprague-Dawley rats were stimulated at the right amygdala to induce SE .
10406013|Status epilepticus of 1 h or longer duration regularly caused neuronal damage to the cerebral cortex , thalamus , hippocampus , amygdala , and pars reticulata of the substantia nigra .
10420552|Effects of novel or relevant -LRB- a single exposure to experimental chamber -RRB- and irrelevant -LRB- 20 exposures to experimental chamber -RRB- stimuli on the levels of serotonin -LRB- 5-HT -RRB- and its metabolite 5-hydroxyindoleacetic acid -LRB- 5-HIAA -RRB- in the left and right hippocamp and amygdala were studied in male and female rats .
10420552|It was found that hemispheric specificity of 5-HT metabolism in hippocampus and amygdala depended on sex and novelty of information .
10420552|In the amygdala , a hemispheric asymmetry of the 5-HT involvement , due to right-hemispheric changes in 5-HT metabolism , was observed only in male rats .
10420552|In females , an increase in 5-HT level was found in the left and right amygdalas in response to irrelevant stimulus .
10449110|METHODS : The authors performed volumetric measurements of hippocampus , amygdala , fornix , and mamillary bodies in 50 patients with MTLE and compared the results with normal controls and patients with extratemporal lobe epilepsy .
10449110|RESULTS : Control -LRB- n = 17 -RRB- measurements of the amygdala , hippocampus , and fornix revealed larger volumes of the right hemisphere structures -LRB- p < 0.001 -RRB- .
10449260|Emphasis is placed on the quantification of the activity from two ROIs , fusiform gyrus -LRB- FG -RRB- and amygdala -LRB- AM -RRB- , which have been best studied in the context of processing of faces and facial expressions of emotion , respectively .
10449260|The amygdala activity was significantly different between 150 and 180 ms for fearful expression , and even earlier for happy expression .
